Batch,Crab,Crab_ID,Simulus,Scored_response,Order,Binary_response,Contrast
4,9,B4C9,4,0,5,0,0.4
4,10,B4C10,9,0,5,0,0.9
4,14,B4C14,7,0,5,0,0.7
4,21,B4C21,5,0,5,0,0.5
3,1,B3C1,1,1,6,1,0.1
3,2,B3C2,9,0,6,0,0.9
3,3,B3C3,8,3,6,1,0.8
3,8,B3C8,5,0,6,0,0.5
3,11,B3C11,4,0,6,0,0.4
3,12,B3C12,6,0,6,0,0.6
3,13,B3C13,2,2,6,1,0.2
3,14,B3C14,6,0,6,0,0.6
3,19,B3C19,7,0,6,0,0.7
3,21,B3C21,4,0,6,0,0.4
3,27,B3C27,5,0,6,0,0.5
3,31,B3C31,8,1,6,1,0.8
3,32,B3C32,4,0,6,0,0.4
3,33,B3C33,5,0,6,0,0.5
3,35,B3C35,8,0,6,0,0.8
3,37,B3C37,2,1,6,1,0.2
3,39,B3C39,5,0,6,0,0.5
2,19,B2C19,2,1,6,1,0.2
2,21,B2C21,5,0,6,0,0.5
4,1,B4C1,3,0,6,0,0.3
4,4,B4C4,7,0,6,0,0.7
4,6,B4C6,1,0,6,0,0.1
4,8,B4C8,6,0,6,0,0.6
4,9,B4C9,1,2,6,1,0.1
4,10,B4C10,1,0,6,0,0.1
4,14,B4C14,2,0,6,0,0.2
4,21,B4C21,7,0,6,0,0.7
3,1,B3C1,3,0,7,0,0.3
3,2,B3C2,1,0,7,0,0.1
3,3,B3C3,9,1,7,1,0.9
3,8,B3C8,1,3,7,1,0.1
3,11,B3C11,8,0,7,0,0.8
3,12,B3C12,5,0,7,0,0.5
3,13,B3C13,4,0,7,0,0.4
3,14,B3C14,1,2,7,1,0.1
3,19,B3C19,2,1,7,1,0.2
3,21,B3C21,5,0,7,0,0.5
3,27,B3C27,9,0,7,0,0.9
3,31,B3C31,1,2,7,1,0.1
3,32,B3C32,1,1,7,1,0.1
3,33,B3C33,3,0,7,0,0.3
3,35,B3C35,5,0,7,0,0.5
3,37,B3C37,8,2,7,1,0.8
3,39,B3C39,8,0,7,0,0.8
2,19,B2C19,8,2,7,1,0.8
2,21,B2C21,8,2,7,1,0.8
4,1,B4C1,5,0,7,0,0.5
4,4,B4C4,3,3,7,1,0.3
4,6,B4C6,2,1,7,1,0.2
4,8,B4C8,7,0,7,0,0.7
4,9,B4C9,2,2,7,1,0.2
4,10,B4C10,6,0,7,0,0.6
4,14,B4C14,6,0,7,0,0.6
4,21,B4C21,6,0,7,0,0.6
3,1,B3C1,8,0,8,0,0.8
3,2,B3C2,7,0,8,0,0.7
3,3,B3C3,2,3,8,1,0.2
3,8,B3C8,9,3,8,1,0.9
3,11,B3C11,6,0,8,0,0.6
3,12,B3C12,9,0,8,0,0.9
3,13,B3C13,3,0,8,0,0.3
3,14,B3C14,2,0,8,0,0.2
3,19,B3C19,5,0,8,0,0.5
3,21,B3C21,3,0,8,0,0.3
3,27,B3C27,3,3,8,1,0.3
3,31,B3C31,3,1,8,1,0.3
3,32,B3C32,7,0,8,0,0.7
3,33,B3C33,9,0,8,0,0.9
3,35,B3C35,4,0,8,0,0.4
3,37,B3C37,9,2,8,1,0.9
3,39,B3C39,9,0,8,0,0.9
2,19,B2C19,6,0,8,0,0.6
2,21,B2C21,3,1,8,1,0.3
4,1,B4C1,8,0,8,0,0.8
4,4,B4C4,2,3,8,1,0.2
4,6,B4C6,9,1,8,1,0.9
4,8,B4C8,9,1,8,1,0.9
4,9,B4C9,8,2,8,1,0.8
4,10,B4C10,4,0,8,0,0.4
4,14,B4C14,4,0,8,0,0.4
4,21,B4C21,2,0,8,0,0.2
3,1,B3C1,5,0,9,0,0.5
3,2,B3C2,3,0,9,0,0.3
3,3,B3C3,5,0,9,0,0.5
3,8,B3C8,4,3,9,1,0.4
3,11,B3C11,9,1,9,1,0.9
3,12,B3C12,4,0,9,0,0.4
3,13,B3C13,6,0,9,0,0.6
3,14,B3C14,7,3,9,1,0.7
3,19,B3C19,8,0,9,0,0.8
3,21,B3C21,8,1,9,1,0.8
3,27,B3C27,7,0,9,0,0.7
3,31,B3C31,7,1,9,1,0.7
3,32,B3C32,8,0,9,0,0.8
3,33,B3C33,7,0,9,0,0.7
3,35,B3C35,2,0,9,0,0.2
3,37,B3C37,6,0,9,0,0.6
3,39,B3C39,1,1,9,1,0.1
2,19,B2C19,7,0,9,0,0.7
2,21,B2C21,4,1,9,1,0.4
4,1,B4C1,1,2,9,1,0.1
4,4,B4C4,8,0,9,0,0.8
4,6,B4C6,8,1,9,1,0.8
4,8,B4C8,3,1,9,1,0.3
4,9,B4C9,6,0,9,0,0.6
4,10,B4C10,2,0,9,0,0.2
4,14,B4C14,9,0,9,0,0.9
4,21,B4C21,8,0,9,0,0.8
