
 --ALL-- 
uint	DoP	DoLP	AoP	ellipticity	intensity	opponentsignal
104	0.7477	0.7474	1.543	0.0229	368237.095285	1.4198	
108	0.7294	0.7292	1.519	0.0200	367457.688471	1.3731	
112	0.7069	0.7066	1.516	0.0189	367915.446973	1.3170	
116	0.6904	0.6902	1.397	0.0200	367532.489710	1.2774	
120	0.6716	0.6713	1.393	0.0192	367591.358335	1.2328	
124	0.6485	0.6482	1.340	0.0188	367878.456225	1.1797	
128	0.6262	0.6259	1.324	0.0205	367670.802549	1.1296	
132	0.6040	0.6036	1.292	0.0217	367605.924858	1.0810	
136	0.5793	0.5789	1.323	0.0232	368103.527414	1.0282	
140	0.5536	0.5530	1.269	0.0241	367751.846012	0.9745	
144	0.5237	0.5234	1.212	0.0193	367692.688031	0.9145	
148	0.4982	0.4976	0.856	0.0239	367760.844486	0.8639	
152	0.4688	0.4682	1.004	0.0247	368555.766176	0.8067	
156	0.4362	0.4356	0.975	0.0224	368514.258032	0.7450	
160	0.4119	0.4111	0.683	0.0248	368067.064418	0.6998	
164	0.3799	0.3792	0.875	0.0228	368515.179437	0.6414	
168	0.3501	0.3494	0.676	0.0222	368144.966947	0.5880	
172	0.3168	0.3159	0.507	0.0239	368354.861295	0.5289	
176	0.2863	0.2853	0.374	0.0239	368283.810113	0.4755	
180	0.2510	0.2501	179.813	0.0209	368742.664721	0.4151	
184	0.2195	0.2184	179.645	0.0215	368041.840522	0.3612	
188	0.1847	0.1834	179.115	0.0221	368917.466846	0.3022	
192	0.1505	0.1488	178.366	0.0228	369331.750307	0.2443	
196	0.1139	0.1121	177.575	0.0203	368443.930616	0.1832	
200	0.0828	0.0792	175.049	0.0242	368966.594206	0.1278	
204	0.0498	0.0449	170.703	0.0217	369115.692088	0.0696	
208	0.0267	0.0171	145.721	0.0205	368957.083168	0.0102	
212	0.0437	0.0394	108.123	0.0189	370018.180821	-0.0519	
216	0.0720	0.0693	98.625	0.0194	370064.133255	-0.1084	
220	0.1071	0.1055	97.915	0.0186	369841.223070	-0.1665	
224	0.1449	0.1437	95.776	0.0185	369880.092542	-0.2315	
228	0.1783	0.1774	95.173	0.0181	370241.167723	-0.2875	
232	0.2181	0.2175	94.432	0.0160	370161.445665	-0.3554	
236	0.2570	0.2565	93.973	0.0162	370319.563954	-0.4219	
240	0.3044	0.3040	93.630	0.0155	371308.407786	-0.5038	
244	0.3492	0.3490	93.186	0.0114	370327.716462	-0.5836	
248	0.3733	0.3732	93.270	0.0094	370856.176656	-0.6264	
252	0.3828	0.3827	93.117	0.0112	371044.271193	-0.6438	

 --GREEN-- 
uint	DoP	DoLP	AoP	ellipticity	intensity	opponentsignal
  0	0.9810	0.9809	1.704	0.0106	536152.294280	2.2037	
  4	0.9810	0.9809	1.728	0.0134	536271.442497	2.2033	
  8	0.9815	0.9814	1.735	0.0106	535568.945767	2.2056	
 12	0.9804	0.9803	1.724	0.0124	535913.624089	2.2008	
 16	0.9789	0.9789	1.698	0.0104	536177.125431	2.1944	
 20	0.9770	0.9769	1.666	0.0115	536370.223468	2.1858	
 24	0.9739	0.9738	1.709	0.0144	536449.339468	2.1716	
 28	0.9689	0.9688	1.695	0.0135	536019.612611	2.1496	
 32	0.9632	0.9631	1.724	0.0143	535509.404592	2.1246	
 36	0.9595	0.9594	1.659	0.0111	535755.639892	2.1095	
 40	0.9547	0.9546	1.697	0.0117	536029.246665	2.0890	
 44	0.9499	0.9498	1.669	0.0141	535938.920951	2.0692	
 48	0.9433	0.9432	1.728	0.0139	536411.072123	2.0423	
 52	0.9361	0.9360	1.566	0.0136	536285.719318	2.0149	
 56	0.9291	0.9290	1.595	0.0127	535695.006494	1.9872	
 60	0.9227	0.9226	1.643	0.0155	535701.478757	1.9623	
 64	0.9126	0.9125	1.634	0.0126	535658.082620	1.9249	
 68	0.9038	0.9037	1.633	0.0149	536362.649735	1.8928	
 72	0.8920	0.8919	1.608	0.0145	535758.010349	1.8515	
 76	0.8782	0.8781	1.607	0.0135	535731.049495	1.8041	
 80	0.8670	0.8668	1.566	0.0134	535467.653470	1.7670	
 84	0.8542	0.8541	1.543	0.0123	535426.836859	1.7260	
 88	0.8413	0.8411	1.540	0.0142	536053.543984	1.6853	
 92	0.8273	0.8272	1.510	0.0133	536034.709429	1.6428	
 96	0.8121	0.8119	1.495	0.0157	536487.035132	1.5976	
100	0.7958	0.7957	1.491	0.0130	536111.039516	1.5510	
104	0.7809	0.7807	1.458	0.0166	536711.926505	1.5093	
108	0.7658	0.7657	1.464	0.0151	536324.185764	1.4685	
112	0.7471	0.7469	1.403	0.0172	536321.377464	1.4190	
116	0.7328	0.7327	1.409	0.0143	536138.258626	1.3823	
120	0.7169	0.7167	1.425	0.0163	536229.293356	1.3420	
124	0.6976	0.6974	1.363	0.0183	536710.130548	1.2948	
128	0.6763	0.6761	1.253	0.0163	536397.435420	1.2444	
132	0.6541	0.6539	1.180	0.0152	536320.774808	1.1930	
136	0.6343	0.6340	1.224	0.0185	537117.372585	1.1480	
140	0.6096	0.6093	1.126	0.0173	536770.962037	1.0937	
144	0.5844	0.5841	1.012	0.0183	536904.473899	1.0398	
148	0.5594	0.5591	1.023	0.0175	536697.648596	0.9874	
152	0.5351	0.5347	1.006	0.0193	537303.944313	0.9376	
156	0.5069	0.5065	0.827	0.0204	537409.121157	0.8814	
160	0.4840	0.4836	0.808	0.0187	537422.779514	0.8366	
164	0.4568	0.4565	0.720	0.0188	537800.773349	0.7846	
168	0.4289	0.4285	0.727	0.0188	538048.632897	0.7319	
172	0.3995	0.3990	0.442	0.0189	537504.809477	0.6777	
176	0.3685	0.3681	0.462	0.0185	538727.735752	0.6215	
180	0.3371	0.3365	0.223	0.0195	538091.006406	0.5652	
184	0.3041	0.3035	179.823	0.0194	538872.833016	0.5072	
188	0.2733	0.2726	179.796	0.0192	537835.179602	0.4537	
192	0.2419	0.2412	179.349	0.0186	538468.968159	0.3998	
196	0.2049	0.2041	178.659	0.0181	538702.902888	0.3368	
200	0.1711	0.1700	178.245	0.0191	539264.717521	0.2795	
204	0.1355	0.1343	176.844	0.0176	538501.152689	0.2194	
208	0.0997	0.0982	175.482	0.0172	539368.693612	0.1590	
212	0.0625	0.0601	170.718	0.0173	538575.370878	0.0933	
216	0.0349	0.0308	159.526	0.0165	540080.861182	0.0381	
220	0.0352	0.0309	122.535	0.0168	540262.624512	-0.0213	
224	0.0614	0.0591	104.384	0.0169	540225.113403	-0.0848	
